Saved Date,Job Url,Job Title,Company Name
"6/17/25, 5:19 PM",http://www.linkedin.com/jobs/view/4236858619,Supply Chain Security Officer,Saab
"4/9/25, 7:05 AM",http://www.linkedin.com/jobs/view/4189392606,Projektledare Bygg - Eksjö,Fortifikationsverket
"4/30/22, 12:37 PM",http://www.linkedin.com/jobs/view/3012773832,Bid manager till Sveriges mest attraktiva konsultbolag - Castra,Castra
"9/1/23, 6:57 AM",http://www.linkedin.com/jobs/view/3705948322,Affärsdriven Ljusdesigner,INTEC
"8/18/24, 11:26 PM",http://www.linkedin.com/jobs/view/3986350446,FMTS söker Ammunitions-/Minröjtekniker till Eksjö,Försvarsmakten
"2/28/24, 9:39 AM",http://www.linkedin.com/jobs/view/3838014348,,
"4/13/24, 9:00 AM",http://www.linkedin.com/jobs/view/3855708038,Lighting Experience Designer,Contechs
"12/14/24, 7:24 AM",http://www.linkedin.com/jobs/view/4076654236,"Kategoriansvarig inköpare, Inera AB",EFFSO
"4/4/25, 6:16 PM",http://www.linkedin.com/jobs/view/4172606458,Belysningsprojektör till Ahlsell,Ahlsell Sverige AB
"9/17/25, 12:05 PM",http://www.linkedin.com/jobs/view/4300712112,"Strategisk inköpare - Stockholm, Linköping eller Malmö",Polismyndigheten
"1/6/21, 6:47 AM",http://www.linkedin.com/jobs/view/2368449331,Senior Bid Manager till Adapteo ,Fasticon
"12/11/20, 11:20 PM",http://www.linkedin.com/jobs/view/2317581436,Sortimentsansvarig för Park & Stadsmiljö,HAGS Sverige
"5/30/24, 1:58 PM",http://www.linkedin.com/jobs/view/3842073271,Account Manager - Sweden,AvePoint
"7/29/25, 10:44 PM",http://www.linkedin.com/jobs/view/4259277592,Kundsegmentsansvarig,Tekniska verken
"3/31/25, 4:23 PM",http://www.linkedin.com/jobs/view/4180596674,Upphandlare med hållbarhetsfokus,Region Jönköpings län
"9/13/21, 9:57 AM",http://www.linkedin.com/jobs/view/2717891108,Bid Manager till Poolia koncernen,Poolia Sverige
"12/4/24, 12:20 AM",http://www.linkedin.com/jobs/view/4066360090,Strategisk inköpare,Skill
"9/22/21, 1:42 PM",http://www.linkedin.com/jobs/view/2655806156,Bid Manager,"Nordcloud, an IBM Company"
"11/28/24, 3:02 PM",http://www.linkedin.com/jobs/view/4050239486,Projektledare inom hus till Linköping/Jönköping,Hifab
"2/15/24, 11:23 AM",http://www.linkedin.com/jobs/view/3640311854,Account Manager,Hilti Sverige
"2/14/24, 4:27 PM",http://www.linkedin.com/jobs/view/3768721790,Konsttekniker,"Utbildning och kultur, Region Jönköpings län"
"10/7/24, 1:45 AM",http://www.linkedin.com/jobs/view/4030768841,Bid Manager,Avoki
"3/8/24, 7:50 PM",http://www.linkedin.com/jobs/view/3834668002,Belysningsprojektör,Vattenfall
